# Found            : 1033
# MISSING          : 16
# EXTRA            : 6
# Follow (E)       : 98.4 %
<	12:24:11.918
!	12:24:11.928
DOCTYPE	12:24:11.998
html	12:24:12.048
>	12:24:12.058
<	12:24:12.078
html	12:24:12.118
lang	12:24:12.168
=	12:24:12.178
"	12:24:12.188
en	12:24:12.208
"	12:24:12.218
>	12:24:12.228
<	12:24:12.248
head	12:24:12.288
>	12:24:12.298
<	12:24:12.318
meta	12:24:12.358
charset	12:24:12.438
=	12:24:12.448
"	12:24:12.458
UTF	12:24:12.488
-	12:24:12.498
8	12:24:12.508
"	12:24:12.518
>	12:24:12.528
<	12:24:12.548
meta	12:24:12.588
name	12:24:12.638
=	12:24:12.648
"	12:24:12.658
viewport	12:24:12.738
"	12:24:12.748
content	12:24:12.828
=	12:24:12.838
"	12:24:12.848
width	12:24:12.898
=	12:24:12.908
device	12:24:12.968
-	12:24:12.978
width	12:24:13.028
,	12:24:13.038
initial	12:24:13.118
-	12:24:13.128
scale	12:24:13.178
=	12:24:13.188
1	12:24:13.198
.	12:24:13.208
0	12:24:13.218
"	12:24:13.228
>	12:24:13.238
<	12:24:13.258
title	12:24:13.308
>	12:24:13.318
<	12:24:13.408
/	12:24:13.418
title	12:24:13.468
>	12:24:13.478
<	12:24:13.498
/	12:24:13.508
head	12:24:13.548
>	12:24:13.558
<	12:24:13.578
body	12:24:13.618
>	12:24:13.628
<	12:24:13.658
/	12:24:13.668
body	12:24:13.708
>	12:24:13.718
<	12:24:13.738
/	12:24:13.748
html	12:24:13.788
>	12:24:13.798
JavaScript	12:24:24.306
Lesson	12:24:25.593
<	12:27:54.992
div	12:27:55.022
id	12:27:55.052
=	12:27:55.062
"	12:27:55.072
container	12:27:55.162
"	12:27:55.172
>	12:27:55.182
<	12:27:55.192
/	12:27:55.202
div	12:27:55.232
>	12:27:55.242
My	12:28:56.380
first	12:28:57.481
Emmet	12:28:58.636
abbreviations	12:29:01.416
:	12:29:02.589
<	12:29:38.953
ol	12:29:38.973
>	12:29:38.983
<	12:29:39.003
li	12:29:39.023
>	12:29:39.033
<	12:29:39.043
/	12:29:39.053
li	12:29:39.073
>	12:29:39.083
<	12:29:39.103
li	12:29:39.123
>	12:29:39.133
<	12:29:39.143
/	12:29:39.153
li	12:29:39.173
>	12:29:39.183
<	12:29:39.203
li	12:29:39.223
>	12:29:39.233
<	12:29:39.243
/	12:29:39.253
li	12:29:39.273
>	12:29:39.283
<	12:29:39.303
/	12:29:39.313
ol	12:29:39.333
>	12:29:39.343
!	12:30:40.873
(	12:30:42.345
HTML	12:30:43.236
boilerplate	12:30:45.202
)	12:30:45.346
div	12:30:47.087
#	12:30:47.193
container	12:30:48.969
(	12:30:49.458
div	12:30:50.033
with	12:30:50.841
id	12:30:51.528
)	12:30:51.709
ol	12:30:53.144
>	12:30:53.364
li	12:30:54.573
*	12:30:55.091
3	12:30:55.908
(	12:31:00.957
ordered	12:31:02.226
list	12:31:03.447
with	12:31:04.534
3	12:31:04.810
items	12:31:06.206
)	12:31:06.395
(	12:31:08.659
all	12:31:09.440
followed	12:31:10.973
by	12:31:11.548
Tab	12:31:12.499
/	12:31:12.904
Enter	12:31:14.293
)	12:31:14.537
<	12:32:51.935
script	12:32:51.995
>	12:32:52.005
<	12:32:52.015
/	12:32:52.025
script	12:32:52.085
>	12:32:52.095
myNumber	12:33:44.402
=	12:33:48.620
25	12:33:49.617
.	12:33:50.133
2	12:33:50.650
;	12:33:51.023
console	12:33:56.141
.	12:33:56.408
log	12:33:57.256
(	12:33:57.544
myNumber	12:33:59.949
)	12:34:00.378
;	12:34:00.925
/	12:34:56.698	COMMENT
/	12:34:56.952	COMMENT
never	12:34:58.513	COMMENT	MISSING
define	12:34:59.870	COMMENT
without	12:35:01.420	COMMENT
const	12:35:02.464	COMMENT
,	12:35:02.628	COMMENT
let	12:35:03.620	COMMENT
(	12:35:04.763	COMMENT
or	12:35:05.250	COMMENT
var	12:35:06.124	COMMENT
)	12:35:06.257	COMMENT
const	12:35:25.644
myString	12:35:27.676
=	12:35:28.146
"	12:35:28.654
I	12:35:30.061
study	12:35:31.258
at	12:35:31.858
Academy	12:35:33.317
"	12:35:33.552
;	12:35:38.458
console	12:35:40.685
.	12:35:40.877
log	12:35:41.570
(	12:35:41.682
myString	12:35:43.276
)	12:35:43.667
;	12:35:44.563
let	12:36:18.381
myBoolean	12:36:27.967
=	12:36:28.415
true	12:36:29.801
;	12:36:30.180
var	12:36:39.960
oppositeBoolean	12:36:43.817
=	12:36:44.740
!	12:36:45.837
myBoolean	12:36:56.090
;	12:36:56.445
/	12:36:58.724	COMMENT
/	12:36:59.013	COMMENT
var	12:36:59.823	COMMENT
was	12:37:00.576	COMMENT
"	12:37:00.952	COMMENT
replaced	12:37:02.858	COMMENT
"	12:37:03.237	COMMENT
by	12:37:04.094	COMMENT
let	12:37:05.069	COMMENT
and	12:37:08.065	COMMENT
const	12:37:09.672	COMMENT
console	12:38:25.342
.	12:38:25.517
log	12:38:26.012
(	12:38:26.197
myBoolean	12:38:28.108
,	12:38:28.542
oppositeBoolean	12:38:31.842
)	12:38:32.190
;	12:38:32.588
/	12:38:33.571	COMMENT
/	12:38:33.896	COMMENT
accepts	12:38:35.231	COMMENT
multiple	12:38:36.826	COMMENT
parameters	12:38:39.276	COMMENT
myBoolean	12:41:00.416
=	12:41:00.970
false	12:41:02.595
;	12:41:04.494
oppositeBoolean	12:41:07.806
=	12:41:08.267
!	12:41:08.765
myBoolean	12:41:10.665
;	12:41:10.990
console	12:41:15.141
.	12:41:15.376
log	12:41:15.830
(	12:41:16.128
myBoolean	12:41:17.874
,	12:41:18.113
oppositeBoolean	12:41:21.351
)	12:41:21.725
;	12:41:22.064
console	12:42:03.486
.	12:42:03.609
log	12:42:04.427
(	12:42:04.667
!	12:42:04.755
42	12:42:11.528
,	12:42:12.829
!	12:42:13.940
"	12:42:16.149
ABC	12:42:20.731	MISSING
"	12:42:22.138
,	12:42:22.676
!	12:42:23.528
[	12:42:25.027
]	12:42:25.465
)	12:42:36.192
;	12:42:36.696	MISSING
console	12:43:10.202
.	12:43:10.440
log	12:43:11.095
(	12:43:11.964
!	12:43:12.831
null	12:43:14.097
,	12:43:15.085
!	12:43:15.675
undefined	12:43:17.799
,	12:43:18.024
!	12:43:20.314
0	12:43:20.768
)	12:43:21.608
;	12:43:22.016	MISSING
/	12:43:34.067	COMMENT
/	12:43:34.332	COMMENT
zero	12:43:35.358	COMMENT
is	12:43:35.968	COMMENT
"	12:43:36.333	COMMENT
falsy	12:43:37.466	COMMENT
"	12:43:37.681	COMMENT
/	12:46:21.228	COMMENT
/	12:46:21.429	COMMENT
arrays	12:46:22.973	COMMENT
are	12:46:23.865	COMMENT
like	12:46:24.777	COMMENT
Python	12:46:26.198	COMMENT
lists	12:46:27.530	COMMENT
const	12:46:38.696
myArray	12:46:40.283
=	12:46:42.056
[	12:46:47.504
1	12:46:50.082
,	12:46:50.411
2	12:46:51.183
,	12:46:51.435
3	12:46:52.042
,	12:46:54.745
"	12:46:56.859
Academy	12:46:59.354	MISSING
"	12:46:59.606
,	12:47:00.520
true	12:47:02.585
,	12:47:05.305
null	12:47:07.413
]	12:47:09.120
;	12:47:19.402
console	12:47:21.941
.	12:47:22.138
log	12:47:22.709
(	12:47:22.796
myArray	12:47:24.095
)	12:47:24.321
;	12:47:24.675
myArray	12:48:11.391
.	12:48:11.846
length	12:48:14.079
=	12:48:17.153
0	12:48:17.851
;	12:48:18.482
myArray	12:48:36.131
[	12:48:36.342
0	12:48:36.631
]	12:48:41.365
=	12:48:42.239
9	12:48:43.794
;	12:48:44.383
myArray	12:48:48.004
[	12:48:48.257
1	12:48:48.480
]	12:48:48.756
=	12:48:49.474
8	12:48:49.923
;	12:48:50.236
myArray	12:48:51.955
[	12:48:52.133
2	12:48:52.350
]	12:48:52.554
=	12:48:53.091
7	12:48:53.569
;	12:48:53.831
myArray	12:49:08.421	COMMENT
=	12:49:08.885	COMMENT
[	12:49:09.395	COMMENT
1	12:49:09.689	COMMENT
,	12:49:09.894	COMMENT
2	12:49:10.328	COMMENT
,	12:49:10.579	COMMENT
3	12:49:11.031	COMMENT
]	12:49:11.390	COMMENT
;	12:49:11.717	COMMENT
/	12:50:19.386	COMMENT
/	12:50:19.901	COMMENT
ERROR	12:50:24.876	COMMENT
!	12:50:25.060	COMMENT
Program	12:50:26.814	COMMENT
would	12:50:28.132	COMMENT
fail	12:50:29.148	COMMENT
here	12:50:30.183	COMMENT
!	12:50:31.907	COMMENT
try	12:51:31.793
{	12:51:35.536
}	12:51:36.442
myArray	12:51:42.019
=	12:51:42.520
[	12:51:42.919
1	12:51:43.120
,	12:51:43.388
2	12:51:43.787
,	12:51:43.929
3	12:51:44.356
]	12:51:44.829
;	12:51:45.212
catch	12:51:57.493
(	12:51:57.676
err	12:51:58.815
)	12:52:08.815
{	12:52:09.683
}	12:52:11.223
console	12:52:12.596
.	12:52:12.851
(	12:52:13.591
err	12:52:14.019
)	12:52:14.327
;	12:52:14.599	MISSING
error	12:53:23.899
myArray	12:56:12.245
.	12:56:12.449
push	12:56:13.438
(	12:56:13.600
6	12:56:13.917
)	12:56:14.376
;	12:56:14.693
myArray	12:57:45.202
.	12:57:45.376
sort	12:57:46.172
(	12:57:46.350
)	12:57:46.800
;	12:57:47.239	MISSING
myArray	12:58:07.751
.	12:58:07.899
push	12:58:08.724
(	12:58:09.005
11	12:58:09.541
)	12:58:09.921
;	12:58:10.780
function	13:02:27.510
(	13:02:27.770
a	13:02:28.064
,	13:02:28.451
b	13:02:29.161
)	13:02:29.546
{	13:02:29.863
return	13:02:31.777
a	13:02:32.226
-	13:02:34.319
b	13:02:34.848
;	13:02:35.373	MISSING
}	13:02:46.659
/	13:04:52.790	COMMENT
/	13:04:53.036	COMMENT
objects	13:04:54.650	COMMENT
are	13:04:55.323	COMMENT
like	13:04:56.149	COMMENT
Python	13:04:57.522	COMMENT
dictionaries	13:04:59.914	COMMENT
const	13:05:02.949
dog	13:05:03.658
=	13:05:04.051
{	13:05:05.579
}	13:05:06.804
;	13:05:06.814
name	13:05:07.438
:	13:05:07.674
"	13:05:08.095
Max	13:05:08.613
"	13:05:08.847
,	13:05:10.053
age	13:05:11.604
:	13:05:11.763
5	13:05:12.091
,	13:05:12.371
furr	13:05:18.077	MISSING
:	13:05:18.375
"	13:05:18.869
black	13:05:20.120
"	13:05:20.541
,	13:05:21.265
eyes	13:05:22.524
:	13:05:22.732
"	13:05:23.089
brown	13:05:24.043
"	13:05:24.754
console	13:05:40.138
.	13:05:40.279
log	13:05:40.714
(	13:05:40.845
dog	13:05:41.351
)	13:05:41.658
;	13:05:41.819
console	13:06:04.524
.	13:06:04.961
table	13:06:06.600
(	13:06:10.812
dog	13:06:11.686
)	13:06:11.899
;	13:06:12.366
console	13:07:06.969
.	13:07:07.154
log	13:07:07.894
(	13:07:08.007
dog	13:07:08.730
.	13:07:09.027
name	13:07:10.103
)	13:07:10.445
;	13:07:10.952
dog	13:07:35.114
.	13:07:35.383
name	13:07:36.414
=	13:07:37.179
"	13:07:37.700
Charlie	13:07:39.223
"	13:07:39.689
;	13:07:39.891
console	13:07:50.529
.	13:07:50.781
log	13:07:51.432
(	13:07:51.598
dog	13:07:52.399
[	13:07:52.629
"	13:07:52.850
name	13:07:53.823
"	13:07:53.974
]	13:07:54.253
)	13:07:54.549
;	13:07:54.959
<	13:09:16.821
script	13:09:18.025
src	13:09:19.805
=	13:09:20.427
"	13:09:20.914
"	13:09:20.924
https	13:09:28.845
:	13:09:28.963
/	13:09:31.443
/	13:09:31.994
www	13:09:33.787
.	13:09:34.163
radufromfinland	13:09:39.343
.	13:09:39.613
com	13:09:41.214
/	13:09:41.395
dog	13:09:43.134
.	13:09:43.462
js	13:09:44.449
>	13:09:45.189
<	13:09:45.302
/	13:09:45.312
script	13:09:45.372
>	13:09:45.382
const	13:10:52.998
anotherDog	13:10:55.220
=	13:10:55.740
new	13:10:57.671
Dog	13:10:58.527
(	13:10:58.723
"	13:10:58.977
Rex	13:11:00.170
"	13:11:00.402
,	13:11:01.803
7	13:11:03.661
,	13:11:03.978
"	13:11:05.379
brown	13:11:06.655
"	13:11:09.329
,	13:11:09.637
"	13:11:10.342
black	13:11:11.856
"	13:11:12.437
)	13:11:12.880
;	13:11:15.120
console	13:11:18.207
.	13:11:18.366
log	13:11:18.868
(	13:11:19.028
anotherDog	13:11:21.260
)	13:11:21.488
;	13:11:21.762
anotherDog	13:12:32.240
.	13:12:32.465
talk	13:12:33.304
(	13:12:33.744
)	13:12:34.105
;	13:12:34.331	MISSING
const	13:13:13.636
canvas	13:13:15.061
=	13:13:15.599
anotherDog	13:13:17.733
.	13:13:18.022
render	13:13:19.170
(	13:13:19.452
)	13:13:19.676
;	13:13:20.048
container	13:13:27.309
.	13:13:27.609
appendChild	13:13:30.342
(	13:13:30.539
canvas	13:13:31.911
)	13:13:32.681
;	13:13:33.352
/	13:15:14.829	COMMENT
*	13:15:15.135	COMMENT
*	13:15:15.621	COMMENT
/	13:15:16.352	COMMENT
no	13:15:18.554	COMMENT
need	13:15:19.469	COMMENT
for	13:15:20.270	COMMENT
document	13:15:21.948	COMMENT
.	13:15:22.042	COMMENT
getElementById	13:15:24.212	COMMENT
(	13:15:24.368	COMMENT
"	13:15:24.597	COMMENT
container	13:15:26.064	COMMENT
"	13:15:26.262	COMMENT
)	13:15:26.467	COMMENT
ids	13:15:27.349	COMMENT
that	13:15:28.222	COMMENT
are	13:15:28.902	COMMENT
valid	13:15:29.892	COMMENT
JS	13:15:30.406	COMMENT
names	13:15:31.430	COMMENT
are	13:15:32.152	COMMENT
automatically	13:15:34.942	COMMENT
global	13:15:36.372	COMMENT
variables	13:15:38.373	COMMENT
invalid	13:15:40.509	COMMENT
names	13:15:41.781	COMMENT
:	13:15:42.011	COMMENT
*	13:15:42.930	COMMENT
start	13:15:44.230	COMMENT
with	13:15:45.222	COMMENT
a	13:15:45.672	COMMENT
number	13:15:47.274	COMMENT
*	13:15:48.013	COMMENT
contain	13:15:49.458	COMMENT
spaces	13:15:51.007	COMMENT
or	13:15:51.694	COMMENT
special	13:15:53.559	COMMENT
characters	13:15:55.850	COMMENT
(	13:15:56.269	COMMENT
like	13:15:57.185	COMMENT
-	13:15:57.568	COMMENT
)	13:15:57.820	COMMENT
let	13:19:34.221
a	13:19:34.595
=	13:19:35.079
5	13:19:35.552
;	13:19:35.751
let	13:19:36.978
b	13:19:37.310
=	13:19:37.757
2	13:19:38.125
;	13:19:38.607
/	13:19:39.613	COMMENT
/	13:19:39.850	COMMENT
operators	13:19:41.892	COMMENT
console	13:19:44.029
.	13:19:44.184
log	13:19:44.775
(	13:19:45.020
a	13:19:45.234
+	13:19:45.738
b	13:19:46.169
)	13:19:46.613
;	13:19:50.458
a	13:20:06.496
=	13:20:07.087
"	13:20:07.578
5	13:20:07.766
"	13:20:08.157
;	13:20:09.716
console	13:20:14.805
.	13:20:14.947
log	13:20:15.669
(	13:20:15.840
a	13:20:16.103
+	13:20:16.526
b	13:20:16.935
)	13:20:17.157
;	13:20:17.407
/	13:20:24.897	COMMENT
/	13:20:25.143	COMMENT
concatenation	13:20:28.143	COMMENT
console	13:21:23.810
.	13:21:23.916
log	13:21:24.530
(	13:21:24.713
a	13:21:24.994
-	13:21:25.577
b	13:21:26.040
)	13:21:26.405
;	13:21:26.744
console	13:21:51.707
.	13:21:51.847
log	13:21:52.467
(	13:21:52.626
a	13:21:52.848
*	13:21:53.321
b	13:21:53.875
)	13:21:54.226
;	13:21:54.515
console	13:21:56.654
.	13:21:56.770
log	13:21:57.463
(	13:21:57.719
a	13:21:57.948
/	13:21:58.455
b	13:21:59.074
)	13:21:59.346
;	13:21:59.792
console	13:22:01.859
.	13:22:02.110
log	13:22:02.836
(	13:22:03.038
a	13:22:03.297
%	13:22:03.842
b	13:22:04.523
)	13:22:05.089
;	13:22:05.323
console	13:22:11.787
.	13:22:11.931
log	13:22:12.594
(	13:22:12.841
a	13:22:13.092
*	13:22:13.572
*	13:22:13.913
b	13:22:15.299
)	13:22:15.560
;	13:22:16.047
console	13:22:40.955
.	13:22:41.160
log	13:22:41.756
(	13:22:42.069
Math	13:22:42.873
.	13:22:43.074
pow	13:22:43.710
(	13:22:44.110
a	13:22:44.245
,	13:22:44.802
b	13:22:45.549
)	13:22:46.384
)	13:22:47.041
;	13:22:53.102
console	13:22:57.109
.	13:22:57.348
log	13:22:57.961
(	13:22:58.218
Math	13:22:59.128
.	13:22:59.447
sqrt	13:23:00.818
(	13:23:03.723
b	13:23:04.042
)	13:23:04.325
)	13:23:05.030
;	13:23:06.664
console	13:23:15.038
.	13:23:15.294
log	13:23:16.062
(	13:23:16.260
Math	13:23:17.155
.	13:23:17.390
pow	13:23:18.094
(	13:23:18.384
b	13:23:18.613
,	13:23:19.136
0	13:23:20.594
.	13:23:20.954
5	13:23:21.271
)	13:23:21.644
)	13:23:22.089
;	13:23:22.313
console	13:23:33.257
.	13:23:33.449
log	13:23:34.111
(	13:23:34.331
b	13:23:34.620
*	13:23:35.254
*	13:23:35.578
0	13:23:37.240
.	13:23:37.501
5	13:23:37.769
)	13:23:38.049
;	13:23:38.474
a	13:24:24.551
=	13:24:25.222
Number	13:24:27.105
(	13:24:27.289
a	13:24:27.501
)	13:24:28.111
+	13:24:55.921
5	13:24:56.615
;	13:25:00.853
console	13:25:02.914
.	13:25:03.174
log	13:25:03.752
(	13:25:03.913
a	13:25:04.097
)	13:25:04.345
;	13:25:04.560
a	13:25:32.959
+	13:25:38.255
=	13:25:38.837
5	13:25:39.950
;	13:25:51.456	MISSING
a	13:25:54.286
*	13:25:54.969
=	13:25:55.347
2	13:25:56.293
;	13:25:57.609
a	13:25:59.379
/	13:26:00.029
=	13:26:00.357
3	13:26:01.048
;	13:26:02.451
a	13:26:03.908
%	13:26:04.949
=	13:26:05.285
4	13:26:06.260
;	13:26:07.158
a	13:26:09.424
*	13:26:10.113
*	13:26:10.393
=	13:26:10.651
10	13:26:11.743
;	13:26:12.162
console	13:26:17.050
.	13:26:17.174
log	13:26:17.798
(	13:26:18.114
a	13:26:18.396
)	13:26:18.773
;	13:26:24.323
const	13:28:09.997
s1	13:28:10.602
=	13:28:11.050
"	13:28:12.178
Welcome	13:28:13.560
to	13:28:14.166
Academy	13:28:16.030
!	13:28:16.362
"	13:28:16.692
;	13:28:17.854
const	13:28:24.699
s2	13:28:25.337
=	13:28:25.791
'	13:28:26.250
Welcome	13:28:27.998
to	13:28:28.668
Academy	13:28:30.418
!	13:28:30.583
'	13:28:30.981
;	13:28:31.528
console	13:28:34.097
.	13:28:34.373
log	13:28:35.076
(	13:28:35.248
s1	13:28:35.746
,	13:28:35.960
s2	13:28:36.977
)	13:28:37.211
;	13:28:37.833
"	13:29:13.699	MISSING
"	13:29:15.871	MISSING
const	13:29:29.792
s3	13:29:30.471
=	13:29:30.929
"	13:29:31.463
Welcome	13:29:34.675
to	13:29:35.300
\	13:29:35.759
"	13:29:36.010
Academy	13:29:38.066
\	13:29:38.349
"	13:29:38.713
!	13:29:39.865
"	13:29:40.572
;	13:29:40.974
/	13:29:41.775	COMMENT
