# Found            : 560
# MISSING          : 31
# EXTRA            : 79
# Follow (E)       : 96.2 %
<	12:19:34.134
!	12:19:34.144
DOCTYPE	12:19:34.214
html	12:19:34.264
>	12:19:34.274
<	12:19:34.294
html	12:19:34.334
lang	12:19:34.384
=	12:19:34.394
"	12:19:34.404
en	12:19:34.424
"	12:19:34.434
>	12:19:34.444
<	12:19:34.464
head	12:19:34.504
>	12:19:34.514
<	12:19:34.534
meta	12:19:34.574
charset	12:19:34.654
=	12:19:34.664
"	12:19:34.674
UTF	12:19:34.704
-	12:19:34.714
8	12:19:34.724
"	12:19:34.734
>	12:19:34.744
<	12:19:34.764
meta	12:19:34.804
name	12:19:34.854
=	12:19:34.864
"	12:19:34.874
viewport	12:19:34.954
"	12:19:34.964
content	12:19:35.044
=	12:19:35.054
"	12:19:35.064
width	12:19:35.114
=	12:19:35.124
device	12:19:35.184
-	12:19:35.194
width	12:19:35.244
,	12:19:35.254
initial	12:19:35.334
-	12:19:35.344
scale	12:19:35.394
=	12:19:35.404
1	12:19:35.414
.	12:19:35.424
0	12:19:35.434
"	12:19:35.444
>	12:19:35.454
<	12:19:35.474
title	12:19:35.524
>	12:19:35.534
<	12:19:35.624
/	12:19:35.634
title	12:19:35.684
>	12:19:35.694
<	12:19:35.714
/	12:19:35.724
head	12:19:35.764
>	12:19:35.774
<	12:19:35.794
body	12:19:35.834
>	12:19:35.844
<	12:19:35.874
/	12:19:35.884
body	12:19:35.924
>	12:19:35.934
<	12:19:35.954
/	12:19:35.964
html	12:19:36.004
>	12:19:36.014
QR	12:19:38.447
Positioning	12:19:41.715
<	12:21:29.340
h1	12:21:29.653
>	12:21:29.740
<	12:21:30.346
/	12:21:30.356
h1	12:21:30.376
>	12:21:30.386
QR	12:21:30.856
Positioning	12:21:32.906
<	12:23:38.378
link	12:23:39.280
rel	12:23:45.117
=	12:23:45.277
"	12:23:45.703
"	12:23:45.713
stylesheet	12:23:47.522
href	12:23:59.034
=	12:23:59.297
"	12:24:00.025
"	12:24:00.035
123456	12:24:02.680
.	12:24:02.918
css	12:24:03.855
/	12:24:11.601
>	12:24:11.796
body	12:26:56.799
{	12:26:57.145
}	12:27:06.675
display	12:27:07.966
:	12:27:08.210
flex	12:27:09.743
;	12:27:09.906
flex	12:27:13.701
-	12:27:13.779
direction	12:27:15.749
:	12:27:15.907
column	12:27:17.320
;	12:27:17.516
align	12:27:19.045
-	12:27:19.350
items	12:27:20.468
:	12:27:20.704
center	12:27:22.216
;	12:27:22.424
h1	12:27:39.150
{	12:27:39.576
}	12:27:40.523
font	12:27:41.275
-	12:27:41.570
family	12:27:42.736
:	12:27:42.937
"	12:27:43.407
Arial	12:27:44.328
"	12:27:44.570
;	12:27:44.802
color	12:27:46.811
:	12:27:47.037
<	12:29:08.369
img	12:29:09.093
src	12:29:10.227
=	12:29:10.547
"	12:29:12.686
"	12:29:12.696
map	12:29:13.651
.	12:29:13.917
alt	12:29:16.466
=	12:29:16.661
"	12:29:17.027
"	12:29:17.037
map	12:29:21.747
/	12:29:22.840
>	12:29:23.153
png	12:30:36.357
id	12:31:25.626
=	12:31:25.856
"	12:31:26.515
"	12:31:26.525
map	12:31:27.486
#	12:32:18.680
map	12:32:19.755
{	12:32:20.274
}	12:32:35.009
width	12:32:36.292
:	12:32:36.649
100	12:32:37.562
%	12:32:37.735
;	12:32:37.955
margin	12:35:35.569
:	12:35:35.579
0	12:35:35.599
;	12:35:35.609
<	12:35:40.201
div	12:35:40.865
id	12:35:42.076
=	12:35:42.324
"	12:35:42.770
"	12:35:42.780
marker	12:35:44.425
>	12:35:44.990
<	12:35:45.108
/	12:35:45.118
div	12:35:45.148
>	12:35:45.158
#	12:36:08.726
marker	12:36:09.957
{	12:36:10.360
}	12:36:17.541
width	12:36:18.827
:	12:36:19.115
3vw	12:36:23.573
;	12:36:25.789
/	12:36:32.171	COMMENT
*	12:36:32.435	COMMENT
3	12:36:32.866	COMMENT
%	12:36:33.083	COMMENT
of	12:36:33.746	COMMENT
the	12:36:34.810	COMMENT
viewport	12:36:36.426	COMMENT	MISSING
width	12:36:37.730	COMMENT
*	12:36:38.076	COMMENT
/	12:36:38.354	COMMENT
height	12:37:16.574	MISSING
:	12:37:16.693	MISSING
3vw	12:37:18.454	MISSING
;	12:37:19.456	MISSING
background	12:37:29.322
-	12:37:29.578
color	12:37:30.642
:	12:37:30.747
black	12:37:31.976
;	12:37:32.154
border	12:37:58.210
-	12:37:58.480
radius	12:37:59.488
:	12:37:59.684
50	12:38:00.274
%	12:38:00.472
;	12:38:00.710
outline	12:38:33.154
:	12:38:33.436
5px	12:38:34.274
solid	12:38:36.469
/	12:38:44.255	COMMENT
*	12:38:44.494	COMMENT
does	12:38:45.698	COMMENT	MISSING
not	12:38:46.439	COMMENT
affect	12:38:48.021	COMMENT	MISSING
the	12:38:48.853	COMMENT
size	12:38:49.927	COMMENT	MISSING
*	12:38:50.290	COMMENT
/	12:38:50.647	COMMENT
border	12:38:55.775
:	12:38:55.983
5px	12:38:56.840
solid	12:38:57.986
white	12:38:59.153
;	12:38:59.359
/	12:38:59.995	COMMENT
*	12:39:00.836	COMMENT	MISSING
affects	12:39:02.560	COMMENT	MISSING
the	12:39:03.424	COMMENT
size	12:39:04.375	COMMENT	MISSING
*	12:39:04.681	COMMENT	MISSING
/	12:39:04.955	COMMENT
:	12:40:53.960
root	12:40:54.816
{	12:41:00.473
}	12:41:02.034
-	12:41:02.747
-	12:41:03.057
theme	12:41:04.838
:	12:41:13.006
#	12:41:14.043
280	12:41:14.808
;	12:41:15.160
/	12:41:23.133	COMMENT
*	12:41:23.330	COMMENT	MISSING
CSS	12:41:24.053	COMMENT	MISSING
variable	12:41:25.725	COMMENT	MISSING
*	12:41:26.123	COMMENT	MISSING
/	12:41:26.555	COMMENT
var	12:41:59.152
