# Found            : 374
# MISSING          : 85
# EXTRA            : 6
# Follow (E)       : 80.9 %
<	10:12:09.435
!	10:12:12.136
DOCTYPE	10:12:14.338
html	10:12:15.511
>	10:12:15.872
<	10:12:19.522
html	10:12:20.284
>	10:12:20.447
<	10:12:22.091
/	10:12:22.527
html	10:12:23.484
>	10:12:24.597
<	10:12:34.892
head	10:12:35.756
>	10:12:36.287
<	10:12:37.377
/	10:12:37.545
head	10:12:38.381
>	10:12:38.657
<	10:12:43.632
title	10:12:44.512
>	10:12:44.622
Sorting	10:12:45.778
Visualizer	10:12:47.677
<	10:12:47.904
/	10:12:48.260
title	10:12:49.434
>	10:12:49.841
<	10:12:59.962
body	10:13:00.878
>	10:13:01.096
<	10:13:01.912
/	10:13:02.442
body	10:13:03.282
>	10:13:03.551
<	10:13:08.462
h1	10:13:08.883
>	10:13:09.312
Sorting	10:13:13.802
Visualizer	10:13:16.993
<	10:13:17.335
/	10:13:17.789
h1	10:13:18.123
>	10:13:18.254
<	10:17:03.418
style	10:17:04.438
>	10:17:04.650
<	10:17:05.513
/	10:17:05.729
style	10:17:06.766
>	10:17:06.867
body	10:17:09.848
{	10:17:10.361
}	10:17:11.029
display	10:17:13.184
:	10:17:13.327
flex	10:17:14.302
;	10:17:14.588
:	10:17:19.374
center	10:17:20.707
;	10:17:21.139
<	10:18:29.900
div	10:18:30.558
id	10:18:31.498
=	10:18:31.631
"	10:18:33.349
vis	10:18:34.420
-	10:18:37.062
123456	10:18:40.665
"	10:18:40.947
>	10:18:43.208
<	10:18:44.230
/	10:18:44.552
div	10:18:45.086
>	10:18:45.251
#	10:19:53.296
vis	10:19:54.003
-	10:19:54.226
123456	10:19:55.544
{	10:20:02.452
}	10:20:03.095
height	10:20:07.891
:	10:20:07.983
200px	10:20:09.051
;	10:20:09.451
flex	10:21:58.800
-	10:21:58.984
direction	10:22:01.758
:	10:22:01.952
column	10:22:03.223
;	10:22:03.455
content	10:23:59.587	EXTRA*
-	10:24:01.019	EXTRA*
justify	10:24:02.563	EXTRA*
align	10:24:12.446
-	10:24:12.596
items	10:24:13.500
<	10:27:13.253
script	10:27:14.426
>	10:27:14.698
<	10:27:15.917
/	10:27:16.232
script	10:27:17.344
>	10:27:17.787
/	10:27:39.525	COMMENT
/	10:27:39.706	COMMENT
global	10:27:41.300	COMMENT
variables	10:27:43.807	COMMENT
const	10:27:46.114
count	10:27:47.499
=	10:27:48.489
50	10:27:50.527
;	10:27:51.439
const	10:28:42.502
array	10:28:45.898
=	10:28:48.193
new	10:28:49.261
Array	10:28:50.400
(	10:28:50.634
count	10:28:52.202
)	10:28:52.450
;	10:28:52.802
for	10:30:13.868
(	10:30:14.352
let	10:30:15.164
i	10:30:15.672
=	10:30:16.329
0	10:30:16.771
;	10:30:17.011
i	10:30:17.443
<	10:30:18.073
count	10:30:20.284
;	10:30:20.584
i	10:30:47.713
+	10:30:48.171
+	10:30:48.660
)	10:30:49.210
{	10:31:12.723
}	10:31:13.608
array	10:31:16.948
[	10:31:17.188
i	10:31:18.211
]	10:31:22.021
=	10:31:23.399
Math	10:31:30.068
.	10:31:30.292
random	10:31:31.871
(	10:31:32.250
)	10:31:32.537
;	10:31:32.818
/	10:31:46.888	COMMENT
/	10:31:47.101	COMMENT
numbers	10:31:49.525	COMMENT
between	10:31:51.888	COMMENT
0	10:31:52.321	COMMENT
and	10:31:53.378	COMMENT
1	10:31:53.791	COMMENT
const	10:37:42.386
visualizer	10:37:44.631
=	10:37:45.082
document	10:37:47.323
.	10:37:47.760
getElementById	10:38:03.158
(	10:38:03.433
"	10:38:19.019
vis	10:38:19.926
-	10:38:20.217
123456	10:38:22.251
"	10:38:22.629
)	10:38:22.754
;	10:38:23.727
for	10:38:50.477
(	10:38:50.999
let	10:38:51.733
i	10:38:52.267
=	10:38:52.612
0	10:38:53.033
;	10:38:53.257
i	10:38:53.739	MISSING
<	10:38:54.145
array	10:38:55.446	MISSING
.	10:38:55.684
length	10:38:57.372
;	10:38:57.593
i	10:38:58.029
+	10:38:58.280
+	10:38:58.511
)	10:38:58.809
{	10:39:16.312
}	10:39:17.549
const	10:39:36.638
bar	10:39:37.346
=	10:39:37.875
document	10:39:42.722
.	10:39:42.888
createElement	10:39:45.021	MISSING
(	10:39:45.078
"	10:39:45.883
div	10:39:48.709
"	10:39:48.892
)	10:39:49.655
;	10:39:49.907
visualizer	10:40:27.992
.	10:40:28.151
appendChild	10:40:30.229
(	10:40:30.435
bar	10:40:31.317
)	10:40:31.505
;	10:40:32.101
bar	10:42:30.607
.	10:42:30.785
classList	10:42:32.670
.	10:42:32.869
add	10:42:33.487
(	10:42:33.684
"	10:42:33.916
bar	10:42:35.380
"	10:42:35.625
)	10:42:36.061
;	10:42:36.565
.	10:43:24.242
bar	10:43:31.288
{	10:43:32.996
}	10:43:33.966
width	10:43:37.644
:	10:43:37.716
7px	10:43:39.527
;	10:43:40.239
height	10:43:47.504
:	10:43:47.683
100	10:43:48.485
%	10:43:48.586
;	10:43:48.809
background	10:44:24.231
-	10:44:24.311
color	10:44:25.031
:	10:44:25.154
black	10:44:26.271
;	10:44:26.592
display	10:47:38.305
:	10:47:38.437
flex	10:47:39.551
;	10:47:39.811
margin	10:48:02.482
:	10:48:02.549
0px	10:48:03.827
1px	10:48:07.241
;	10:48:07.569
width	10:50:08.733	EXTRA*
:	10:50:08.734	EXTRA*
200px	10:50:08.740	EXTRA*
;	10:50:08.741	EXTRA*
background	10:50:09.321	EXTRA*
-	10:50:09.322	EXTRA*
color	10:50:09.327	EXTRA*
:	10:50:09.328	EXTRA*
red	10:50:09.332	EXTRA*
;	10:50:09.333	EXTRA*
bar	10:50:10.577
.	10:50:10.720
style	10:50:11.842
.	10:50:12.547
height	10:50:14.172
=	10:50:15.244
array	10:50:17.753
[	10:50:17.905
i	10:50:18.168
]	10:50:18.460
*	10:50:28.020
100	10:50:29.694
+	10:50:38.934
"	10:50:40.368
%	10:50:40.883
"	10:50:41.432
